No,region,store,dates,order_items,순살여부,,전처리,전처리_결과_1,전처리_결과_2,전처리_결과_3,전처리_결과_4,전처리_결과_5,전처리_결과_6
1155,BBQ치킨,남가좌점,2023년 09월 16일,"BBQ 소떡/1(소떡 맛 선택(양념맛)),황금올리브치킨™/1(추가메뉴(시크릿 양념소스（25g）))",순살아님,,, 소떡,황금올리브치킨,시크릿 양념소스,,,
1156,BBQ치킨,남가좌점,2023년 09월 14일,황금올리브치킨™（콤보）/1,순살아님,,,황금올리브치킨（콤보）,,,,,
1157,BBQ치킨,남가좌점,2023년 09월 14일,황금올리브치킨™/1,순살아님,,,황금올리브치킨,,,,,
1158,BBQ치킨,남가좌점,2023년 09월 04일,황올 반＋양념 반 ( 콤보 )（콤보）/1,순살아님,,,황올 반＋양념 반 ( 콤보 )（콤보）,,,,,
1159,BBQ치킨,남가좌점,2023년 09월 03일,황올 반＋양념 반 ( 콤보 )/1,순살아님,,,황올 반＋양념 반 ( 콤보 ),,,,,
1160,BBQ치킨,남가좌점,2023년 09월 02일,오리지날 양념치킨/1,순살아님,,,오리지날양념치킨,,,,,
1161,BBQ치킨,남가좌점,2023년 08월 31일,황올 반＋양념 반 ( 콤보 )/1,순살아님,,,황올 반＋양념 반 ( 콤보 ),,,,,
1162,BBQ치킨,남가좌점,2023년 08월 30일,황금올리브치킨™/1(추가메뉴(시크릿 양념소스（25g）)),순살아님,,,황금올리브치킨,,,,,
1163,BBQ치킨,남가좌점,2023년 08월 30일,"황금올리브치킨™（닭다리）/1,황금올리브치킨™（콤보）/1(추가메뉴(시크릿 양념소스（25g）))",순살아님,,,황금올리브치킨닭다리,황금올리브치킨콤보,시크릿 양념소스,,,
1164,BBQ치킨,남가좌점,2023년 08월 20일,황금올리브치킨™（닭다리）/1,순살아님,,,황금올리브치킨,,,,,
1165,BBQ치킨,남가좌점,2023년 08월 18일,"황금올리브치킨™（닭다리）/1,생맥주 500cc/1",순살아님,,,황금올리브치킨,생맥주,,,,
1166,BBQ치킨,남가좌점,2023년 08월 04일,황금올리브치킨™/1,순살아님,,,황금올리브치킨,,,,,
1167,BBQ치킨,남가좌점,2023년 07월 29일,황금올리브치킨™블랙페퍼/1(추가메뉴(콜라 1.25L)),순살아님,,,황금올리브치킨블랙페퍼,콜라,,,,
1168,BBQ치킨,마포가좌역점,2024년 03월 19일,"황금올리브치킨™/1(황올 부분육 선택(순살 변경（다리살 30%, 가슴살 70%）))",순살,,,황금올리브치킨,,,,,
1169,BBQ치킨,마포가좌역점,2024년 02월 24일,황금올리브치킨™（콤보）/1,순살아님,,,황금올리브치킨（콤보）,,,,,
1170,BBQ치킨,마포가좌역점,2024년 02월 22일,황금올리브치킨™핫윙（냉장）/1,순살아님,,,황금올리브치킨핫윙,,,,,
1171,BBQ치킨,마포가좌역점,2024년 02월 07일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,,황금올리브치킨,,,,,
1172,BBQ치킨,마포가좌역점,2024년 02월 02일,자메이카 소떡만나치킨（콤보）/1,순살아님,,,자메이카 소떡만나치킨（콤보）,,,,,
1173,BBQ치킨,마포가좌역점,2024년 02월 01일,"자메이카 소떡만나치킨/1(자소만 부분육 선택(한마리),추가메뉴(치킨무 추가))",순살아님,,,자메이카 소떡만나치킨,,,,,
1174,BBQ치킨,마포가좌역점,2024년 01월 14일,황올 반＋BBQ양념 반/1(황올 부분육 선택(닭다리 변경（8개）)),순살아님,,,황올 반＋양념 반 ( 콤보 ),,,,,
1175,BBQ치킨,마포가좌역점,2023년 12월 30일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,,황금올리브치킨,,,,,
1176,BBQ치킨,마포가좌역점,2023년 12월 26일,황금올리브치킨™/1(황올 부분육 선택(한마리)),순살아님,,,황금올리브치킨,,,,,
1177,BBQ치킨,마포가좌역점,2023년 12월 07일,"핫황금올리브치킨™크리스피/1(크리스피 부분육 선택(한마리)),볼케이노 핫소스（150g）/1,황올한 닭발튀김/1",순살아님,,,핫황금올리브치킨크리스피,,황올한 닭발튀김,,,
1178,BBQ치킨,마포가좌역점,2023년 11월 29일,"매운양념치킨/1(한마리 부분육 선택(한마리)),황올한 닭발튀김/1",순살아님,,,매운양념치킨,황올한 닭발튀김,,,,
1179,BBQ치킨,마포가좌역점,2023년 10월 26일,황금올리브치킨™핫윙（냉장）/1(추가메뉴(치킨무 추가)),순살아님,,,황금올리브치킨핫윙,,,,,
1180,BBQ치킨,마포가좌역점,2023년 10월 19일,황금올리브치킨™（콤보）/1,순살아님,,,황금올리브치킨（콤보）,,,,,
1181,BBQ치킨,마포가좌역점,2023년 10월 19일,"황금올리브치킨™/1,BBQ양념치킨소스（25g）/1",순살아님,,,황금올리브치킨,,,,,
1182,BBQ치킨,마포가좌역점,2023년 10월 17일,황금올리브치킨™（콤보）/1,순살아님,,,황금올리브치킨（콤보）,,,,,
1183,BBQ치킨,마포가좌역점,2023년 10월 09일,황금올리브치킨™（콤보）/1,순살아님,,,황금올리브치킨（콤보）,,,,,
1184,BBQ치킨,마포가좌역점,2023년 09월 17일,황금올리브치킨™（콤보）/1,순살아님,,,황금올리브치킨（콤보）,,,,,
1185,BBQ치킨,마포가좌역점,2023년 08월 11일,"황금올리브치킨™블랙페퍼（콤보）/1(추가메뉴(콜라 1.25L),추가메뉴(시크릿 양념소스（25g）),추가메뉴(치킨무 추가))",순살아님,,,황금올리브치킨블랙페퍼（콤보）,콜라,,,,
1186,BBQ치킨,마포가좌역점,2023년 08월 10일,"황금올리브치킨™블랙페퍼/1(추가메뉴(콜라 1.25L),추가메뉴(시크릿 양념소스（25g）),추가메뉴(치킨무 추가))",순살아님,,,황금올리브치킨블랙페퍼,콜라,,,,
1187,BBQ치킨,마포가좌역점,2023년 07월 26일,황금올리브치킨™（콤보）/1(추가메뉴(제로콜라 1.25L)),순살아님,,,황금올리브치킨（콤보）,콜라,,,,
1188,BBQ치킨,마포가좌역점,2023년 07월 20일,황금올리브치킨™/1(추가메뉴(시크릿 양념소스（25g）)),순살아님,,,황금올리브치킨,,,,,
1189,BBQ치킨,마포가좌역점,2023년 07월 04일,황금올리브치킨™/1,순살아님,,,황금올리브치킨,,,,,
1190,BBQ치킨,마포가좌역점,2023년 06월 17일,황올 반＋양념 반 ( 콤보 )/1,순살아님,,,황올 반＋양념 반 ( 콤보 ),,,,,
1191,BBQ치킨,마포가좌역점,2023년 06월 17일,"황금올리브치킨™/1,콜라 1.25L/1",순살아님,,,황금올리브치킨,콜라,,,,
1192,BBQ치킨,마포가좌역점,2023년 06월 09일,핫황금올리브치킨™크리스피（콤보）/1,순살아님,,,핫황금올리브치킨크리스피（콤보）,,,,,
1193,BBQ치킨,마포가좌역점,2023년 05월 21일,황금올리브치킨™（순살）/1,순살,,,황금올리브치킨,,,,,
1194,BBQ치킨,마포가좌역점,2023년 04월 26일,오리지날 양념치킨（순살）/1,순살,,,오리지날양념치킨,,,,,
1195,BBQ치킨,마포가좌역점,2023년 04월 21일,황올 반＋양념 반 ( 콤보 )/1,순살아님,,,황올 반＋양념 반 ( 콤보 ),,,,,
1196,BBQ치킨,마포가좌역점,2023년 04월 19일,황올 반＋양념 반 ( 콤보 )（콤보）/1,순살아님,,,황올 반＋양념 반 ( 콤보 ),,,,,
1197,BBQ치킨,마포가좌역점,2023년 03월 23일,"황금올리브치킨™닭다리반반/1,BBQ 모둠볼 10개/1",순살아님,,,황금올리브치킨닭다리반반, 모둠볼,,,,
1198,BBQ치킨,마포가좌역점,2023년 03월 15일,황금올리브치킨™ 콤보/1,순살아님,,,황금올리브치킨 콤보,,,,,
1199,BBQ치킨,마포가좌역점,2023년 03월 02일,황금올리브치킨™/1,순살아님,,,황금올리브치킨,,,,,
1200,BBQ치킨,마포가좌역점,2023년 02월 24일,황금올리브치킨™/1,순살아님,,,황금올리브치킨,,,,,
1201,BBQ치킨,마포가좌역점,2023년 02월 14일,자메이카 소떡만나치킨/1,순살아님,,,자메이카 소떡만나치킨,,,,,
1202,BBQ치킨,마포가좌역점,2023년 02월 13일,황금올리브치킨™닭다리/1,순살아님,,,황금올리브치킨닭다리,,,,,
1203,BBQ치킨,마포가좌역점,2023년 02월 05일,"황금올리브치킨™/1,시크릿 양념소스（25g）/1",순살아님,,,황금올리브치킨,,,,,
1204,BBQ치킨,마포가좌역점,2023년 01월 11일,"황금올리브치킨™닭다리/1,BBQ 닭껍데기/1",순살아님,,,황금올리브치킨닭다리, 닭껍데기,,,,
1205,BBQ치킨,마포가좌역점,2022년 12월 28일,"황금올리브치킨™/1,새우스틱（2ea）/1",순살아님,,,황금올리브치킨,새우스틱,,,,
1206,BBQ치킨,마포가좌역점,2022년 12월 28일,황금올리브치킨™/1,순살아님,,,황금올리브치킨,,,,,
1207,BBQ치킨,마포가좌역점,2022년 12월 18일,황금올리브치킨™/1,순살아님,,,황금올리브치킨,,,,,
1208,BBQ치킨,마포가좌역점,2022년 12월 17일,"황금올리브치킨™/1,새우스틱（2ea）/1",순살아님,,,황금올리브치킨,새우스틱,,,,
1209,BBQ치킨,마포가좌역점,2022년 12월 08일,"황금올리브치킨™/1,오리지날 양념치킨/1",순살아님,,,황금올리브치킨,오리지날 양념치킨,,,,
1210,BBQ치킨,마포가좌역점,2022년 11월 29일,"황금올리브치킨™/1,콜라 500ml/1",순살아님,,,황금올리브치킨,콜라,,,,
1211,BBQ치킨,마포가좌역점,2022년 11월 25일,황금올리브치킨™ 콤보 핫크리스피/1,순살아님,,,황금올리브치킨 콤보 핫크리스피,,,,,
1212,BBQ치킨,마포가좌역점,2022년 11월 17일,황금올리브치킨™ 콤보/1,순살아님,,,황금올리브치킨 콤보,,,,,
1213,BBQ치킨,마포가좌역점,2022년 11월 06일,황금올리브치킨™/1,순살아님,,,황금올리브치킨,,,,,
1214,BBQ치킨,마포가좌역점,2022년 10월 23일,황금올리브치킨™반반/1,순살아님,,,황금올리브치킨반반,,,,,
1215,BBQ치킨,마포가좌역점,2022년 10월 15일,황금올리브치킨™/1(추가메뉴(시크릿 양념소스（25g）)),순살아님,,,황금올리브치킨,,,,,
1216,BBQ치킨,마포가좌역점,2022년 10월 15일,황금올리브치킨™ 콤보 핫크리스피/1,순살아님,,,황금올리브치킨 콤보 핫크리스피,,,,,
1217,BBQ치킨,마포가좌역점,2022년 09월 26일,황금올리브치킨™/1,순살아님,,,황금올리브치킨,,,,,
1218,BBQ치킨,마포가좌역점,2022년 09월 11일,황금올리브치킨™/1,순살아님,,,황금올리브치킨,,,,,
1219,BBQ치킨,마포가좌역점,2022년 09월 06일,황금올리브치킨™ 콤보/1,순살아님,,,황금올리브치킨 콤보,,,,,
1220,BBQ치킨,마포가좌역점,2022년 09월 04일,황금올리브치킨™/1,순살아님,,,황금올리브치킨,,,,,
1221,BBQ치킨,마포가좌역점,2022년 08월 30일,"황금올리브치킨™닭다리/1(추가메뉴(콜라 1.25L)),시크릿 양념소스（25g）/3",순살아님,,,황금올리브치킨닭다리,콜라,,,,
1222,BBQ치킨,마포가좌역점,2022년 08월 01일,황금올리브치킨™/1(추가메뉴(황금알치즈볼)),순살아님,,,황금올리브치킨,황금알치즈볼,,,,
1223,BBQ치킨,마포가좌역점,2022년 07월 30일,자메이카 통다리구이/1,순살아님,,,자메이카 통다리구이,,,,,
1224,BBQ치킨,마포가좌역점,2022년 07월 30일,황금올리브치킨™순살반반/1,순살,,,황금올리브치킨반반,,,,,
1225,BBQ치킨,마포가좌역점,2022년 07월 30일,황금올리브치킨™반반/1,순살아님,,,황금올리브치킨반반,,,,,
1226,BBQ치킨,마포가좌역점,2022년 07월 29일,황금올리브치킨™순살/1,순살,,,황금올리브치킨,,,,,
1227,BBQ치킨,마포가좌역점,2022년 07월 26일,황금올리브치킨™/1,순살아님,,,황금올리브치킨,,,,,
1228,BBQ치킨,마포가좌역점,2022년 07월 25일,황금올리브치킨™ 콤보/1,순살아님,,,황금올리브치킨 콤보,,,,,
1229,BBQ치킨,마포가좌역점,2022년 07월 24일,"황금올리브치킨™/1,새우스틱（2ea）/1",순살아님,,,황금올리브치킨,새우스틱,,,,
1230,BBQ치킨,마포가좌역점,2022년 06월 26일,황금올리브치킨™핫윙/1,순살아님,,,황금올리브치킨핫윙,,,,,
1231,BBQ치킨,마포가좌역점,2022년 06월 26일,황금올리브치킨™반반/1,순살아님,,,황금올리브치킨반반,,,,,
1232,BBQ치킨,마포가좌역점,2022년 06월 25일,"황금올리브치킨™/1,새우스틱（2ea）/1",순살아님,,,황금올리브치킨,새우스틱,,,,
1233,BBQ치킨,마포가좌역점,2022년 06월 18일,"황금올리브치킨™/1,오리지날 양념치킨/1",순살아님,,,황금올리브치킨,오리지날 양념치킨,,,,
1236,BBQ치킨,마포가좌역점,2022년 06월 06일,황금올리브치킨™ 콤보 양념/1,순살아님,,,황금올리브치킨 콤보 양념,,,,,
1238,BBQ치킨,마포가좌역점,2022년 05월 30일,황금올리브치킨™반반/1,순살아님,,,황금올리브치킨반반,,,,,
1239,BBQ치킨,마포가좌역점,2022년 05월 29일,황금올리브치킨™/1(추가메뉴(치킨무 추가)),순살아님,,,황금올리브치킨,,,,,
1240,BBQ치킨,마포가좌역점,2022년 05월 11일,황금올리브치킨™/1,순살아님,,,황금올리브치킨,,,,,
1241,BBQ치킨,마포가좌역점,2022년 04월 30일,"황금올리브치킨/1,새우스틱/1",순살아님,,,황금올리브치킨,새우스틱,,,,
1242,BBQ치킨,마포가좌역점,2022년 04월 16일,"황금올리브치킨/1,통새우 멘보샤/1,맥주 1,000CC/1",순살아님,,,황금올리브치킨,통새우 멘보샤,맥주 ,,,
1243,BBQ치킨,마포가좌역점,2022년 04월 12일,황금올리브닭다리/1,순살아님,,,황금올리브닭다리,,,,,
1244,BBQ치킨,마포가좌역점,2022년 03월 27일,황금올리브치킨/1,순살아님,,,황금올리브치킨,,,,,
1245,BBQ치킨,마포가좌역점,2022년 03월 27일,황금올리브치킨™ 콤보/1,순살아님,,,황금올리브치킨 콤보,,,,,
1246,BBQ치킨,마포가좌역점,2022년 03월 26일,황금올리브치킨™ 콤보/1,순살아님,,,황금올리브치킨 콤보,,,,,
1247,BBQ치킨,마포가좌역점,2022년 03월 21일,"황금올리브닭다리/1,소이갈릭스（한마리）/1",순살아님,,,황금올리브닭다리,소이갈릭스한마리,,,,
1248,BBQ치킨,마포가좌역점,2022년 03월 21일,황금올리브핫윙/1(추가메뉴(비비소스추가)),순살아님,,,황금올리브핫윙,,,,,
1249,BBQ치킨,마포가좌역점,2022년 03월 13일,황금올리브（반반）/1,순살아님,,,황금올리브 ( 콤보 ),,,,,
1250,BBQ치킨,마포가좌역점,2022년 03월 07일,황금올리브속안심/1(추가메뉴(양념소스추가)),순살아님,,,황금올리브속안심,,,,,
1251,BBQ치킨,마포가좌역점,2022년 03월 06일,다리가 두개 더 세트SET 4/1,순살아님,,,다리가 두개 더 세트SET 4,,,,,
1252,BBQ치킨,마포가좌역점,2022년 03월 05일,황금올리브치킨/1,순살아님,,,황금올리브치킨,,,,,
1253,BBQ치킨,마포가좌역점,2022년 03월 05일,황금올리브치킨순살/1,순살,,,황금올리브치킨,,,,,
1254,BBQ치킨,마포가좌역점,2022년 03월 05일,"황금올리브핫윙/1,황금올리브（반반）/1,코카-콜라 1.25L/1",순살아님,,,황금올리브핫윙,황금올리브반반,콜라,,,
1255,BBQ치킨,마포가좌역점,2022년 03월 03일,"황금올리브치킨순살/1(추가메뉴(BBQ 모듬볼 10개,통새우 멘보샤))",순살,,,황금올리브치킨, 모듬볼,통새우,멘보샤,,
1256,BBQ치킨,마포가좌역점,2022년 03월 03일,핫황올 블랙페퍼 순살/1(추가메뉴(양념소스추가)),순살,,,핫황올 블랙페퍼 ,,,,,
1257,BBQ치킨,마포가좌역점,2022년 03월 01일,황금올리브치킨순살/1,순살,,,황금올리브치킨,,,,,
1258,BBQ치킨,마포가좌역점,2022년 02월 28일,황금올리브치킨/1,순살아님,,,황금올리브치킨,,,,,
1259,BBQ치킨,마포가좌역점,2022년 02월 19일,"황금올리브치킨/1,황올한 깐풍순살/1",순살,,,황금올리브치킨,황올한 깐풍순살,,,,
1260,BBQ치킨,마포가좌역점,2022년 02월 18일,오리지널 콤보반반（황금올리브＋블랙페퍼）/1,순살아님,,,오리지널 콤보반반,,,,,
1261,BBQ치킨,마포가좌역점,2022년 02월 17일,황금올리브핫윙/1(추가메뉴(비비소스추가)),순살아님,,,황금올리브핫윙,,,,,
1262,BBQ치킨,마포가좌역점,2022년 02월 15일,핫황올 블랙페퍼 순살/1(추가메뉴(BBQ닭껍데기)),순살,,,핫황올 블랙페퍼 ,닭껍데기,,,,
1263,BBQ치킨,마포가좌역점,2022년 02월 14일,황금올리브치킨/1,순살아님,,,황금올리브치킨,,,,,
1264,BBQ치킨,마포가좌역점,2022년 02월 12일,황금올리브（반반）/1(추가메뉴(오징어튀김)),순살아님,,,황금올리브 ( 콤보 ),오징어튀김,,,,
1265,BBQ치킨,마포가좌역점,2022년 02월 06일,다리가 두개 더 세트SET 1/1(추가메뉴(케이준감자)),순살아님,,,다리가 두개 더 세트SET 1,케이준감자,,,,
